timestamp,intersection_id,current_phase,vehicle_count,remaining_time_sec,cycle_time_sec,pedestrian_request,latitude,longitude
2026-05-09T08:02:00+00:00,A17-B03,yellow,14,50,60,True,50.451111,30.521846
2026-05-09T08:04:00+00:00,C05-D11,red,25,34,60,False,50.450686,30.522726
2026-05-09T08:06:00+00:00,C05-D11,green,25,31,60,False,50.450616,30.522819
2026-05-09T08:08:00+00:00,E09-F04,red,33,43,60,True,50.449918,30.523904
2026-05-09T08:00:00+00:00,A17-B03,green,27,50,60,False,50.451325,30.521793
2026-05-09T08:02:00+00:00,A17-B03,yellow,19,28,60,True,50.451159,30.521825
2026-05-09T08:04:00+00:00,C05-D11,red,32,20,60,False,50.45065,30.522663
2026-05-09T08:06:00+00:00,C05-D11,green,32,43,60,False,50.450685,30.522542
2026-05-09T08:08:00+00:00,E09-F04,red,32,42,60,True,50.449881,30.524041
2026-05-09T08:00:00+00:00,A17-B03,green,20,9,60,False,50.451369,30.52184
2026-05-09T08:02:00+00:00,A17-B03,yellow,19,26,60,True,50.451157,30.52185
2026-05-09T08:04:00+00:00,C05-D11,red,30,45,60,False,50.450839,30.52248
2026-05-09T08:06:00+00:00,C05-D11,green,24,37,60,False,50.450595,30.522778
2026-05-09T08:08:00+00:00,E09-F04,red,31,49,60,True,50.450044,30.524072
2026-05-09T08:00:00+00:00,A17-B03,green,22,18,60,False,50.451185,30.521715
2026-05-09T08:02:00+00:00,A17-B03,yellow,15,28,60,True,50.451182,30.521749
2026-05-09T08:04:00+00:00,C05-D11,red,36,19,60,False,50.450573,30.522675
2026-05-09T08:06:00+00:00,C05-D11,green,32,31,60,False,50.450632,30.522526
2026-05-09T08:08:00+00:00,E09-F04,red,38,28,60,True,50.449757,30.523956
2026-05-09T08:00:00+00:00,A17-B03,green,24,23,60,False,50.451349,30.521721
2026-05-09T08:02:00+00:00,A17-B03,yellow,12,59,60,True,50.451378,30.52183
2026-05-09T08:04:00+00:00,C05-D11,red,26,15,60,False,50.45085,30.522505
2026-05-09T08:06:00+00:00,C05-D11,green,27,1,60,False,50.450778,30.522755
2026-05-09T08:08:00+00:00,E09-F04,red,30,49,60,True,50.449993,30.524135
2026-05-09T08:00:00+00:00,A17-B03,green,29,24,60,False,50.451356,30.521997
2026-05-09T08:02:00+00:00,A17-B03,yellow,22,22,60,True,50.451121,30.521697
2026-05-09T08:04:00+00:00,C05-D11,red,27,28,60,False,50.45092,30.522423
2026-05-09T08:06:00+00:00,C05-D11,green,22,11,60,False,50.45064,30.522494
2026-05-09T08:08:00+00:00,E09-F04,red,33,36,60,True,50.449835,30.524008
2026-05-09T08:00:00+00:00,A17-B03,green,19,7,60,False,50.451173,30.522064
2026-05-09T08:02:00+00:00,A17-B03,yellow,19,53,60,True,50.451243,30.521968
2026-05-09T08:04:00+00:00,C05-D11,red,27,26,60,False,50.450721,30.522685
2026-05-09T08:06:00+00:00,C05-D11,green,23,20,60,False,50.450659,30.522786
2026-05-09T08:08:00+00:00,E09-F04,red,34,56,60,True,50.449955,30.524149
2026-05-09T08:00:00+00:00,A17-B03,green,20,32,60,False,50.451376,30.522002
2026-05-09T08:02:00+00:00,A17-B03,yellow,16,7,60,True,50.45117,30.521687
2026-05-09T08:04:00+00:00,C05-D11,red,26,1,60,False,50.450553,30.522789
2026-05-09T08:06:00+00:00,C05-D11,green,30,41,60,False,50.450702,30.522749
2026-05-09T08:08:00+00:00,E09-F04,red,39,18,60,True,50.450067,30.524192
2026-05-09T08:00:00+00:00,A17-B03,green,24,43,60,False,50.45104,30.521832
2026-05-09T08:02:00+00:00,A17-B03,yellow,23,2,60,True,50.451147,30.522015
2026-05-09T08:04:00+00:00,C05-D11,red,27,29,60,False,50.450617,30.522455
2026-05-09T08:06:00+00:00,C05-D11,green,24,21,60,False,50.450713,30.522619
2026-05-09T08:08:00+00:00,E09-F04,red,41,23,60,True,50.449931,30.523992
2026-05-09T08:00:00+00:00,A17-B03,green,19,13,60,False,50.451131,30.521908
2026-05-09T08:02:00+00:00,A17-B03,yellow,13,59,60,True,50.451378,30.522054
2026-05-09T08:04:00+00:00,C05-D11,red,27,14,60,False,50.450937,30.522567
2026-05-09T08:06:00+00:00,C05-D11,green,21,38,60,False,50.450642,30.52248
2026-05-09T08:08:00+00:00,E09-F04,red,30,60,60,True,50.449828,30.52393
2026-05-09T08:00:00+00:00,A17-B03,green,30,35,60,False,50.451366,30.521925
2026-05-09T08:02:00+00:00,A17-B03,yellow,16,58,60,True,50.451064,30.522043
2026-05-09T08:04:00+00:00,C05-D11,red,31,53,60,False,50.450579,30.522803
2026-05-09T08:06:00+00:00,C05-D11,green,30,47,60,False,50.450865,30.522635
2026-05-09T08:08:00+00:00,E09-F04,red,35,23,60,True,50.450023,30.523814
2026-05-09T08:00:00+00:00,A17-B03,green,24,52,60,False,50.45106,30.521777
2026-05-09T08:02:00+00:00,A17-B03,yellow,21,36,60,True,50.45118,30.521854
2026-05-09T08:04:00+00:00,C05-D11,red,30,4,60,False,50.450841,30.522695
2026-05-09T08:06:00+00:00,C05-D11,green,33,31,60,False,50.450572,30.522549
2026-05-09T08:08:00+00:00,E09-F04,red,31,11,60,True,50.449884,30.523918
