timestamp,temperature_c,humidity_pct,pm2_5,pm10,co2_ppm,latitude,longitude
2026-05-09T08:40:00+00:00,19.75,56.39,16.46,25.97,528.83,50.450203,30.523999
2026-05-09T08:00:00+00:00,17.33,62.93,12.32,23.98,448.06,50.450977,30.52346
2026-05-09T08:10:00+00:00,17.64,60.01,14.13,24.17,481.06,50.451009,30.523822
2026-05-09T08:20:00+00:00,19.6,57.98,15.99,26.25,492.54,50.450572,30.522963
2026-05-09T08:30:00+00:00,20.71,59.22,16.09,27.67,491.35,50.45038,30.522951
2026-05-09T08:40:00+00:00,20.39,56.56,18.72,29.59,558.01,50.450261,30.523846
2026-05-09T08:00:00+00:00,19.47,62.81,14.23,22.28,471.8,50.450781,30.523646
2026-05-09T08:10:00+00:00,19.13,59.55,16.67,22.42,501.21,50.451296,30.52373
2026-05-09T08:20:00+00:00,18.78,59.67,18.15,23.66,488.37,50.450867,30.523019
2026-05-09T08:30:00+00:00,18.56,56.07,18.35,26.05,523.78,50.450297,30.52332
2026-05-09T08:40:00+00:00,21.05,54.14,16.96,30.09,567.91,50.450254,30.523961
2026-05-09T08:00:00+00:00,19.44,64.46,13.34,24.08,452.1,50.450972,30.523341
2026-05-09T08:10:00+00:00,18.31,58.02,13.15,25.6,480.07,50.45094,30.523806
2026-05-09T08:20:00+00:00,18.97,56.28,18.02,25.38,463.15,50.450648,30.523058
2026-05-09T08:30:00+00:00,20.01,60.87,16.21,23.1,541.2,50.450376,30.523108
2026-05-09T08:40:00+00:00,19.3,58.04,19.54,26.19,534.71,50.450387,30.523675
2026-05-09T08:00:00+00:00,18.98,61.07,15.39,21.1,438.78,50.450886,30.523375
2026-05-09T08:10:00+00:00,19.22,62.54,13.23,24.13,475.43,50.451146,30.523694
2026-05-09T08:20:00+00:00,19.89,59.52,16.52,24.19,507.47,50.45086,30.522889
2026-05-09T08:30:00+00:00,18.36,58.77,18.58,24.92,510.32,50.450579,30.523098
2026-05-09T08:40:00+00:00,20.35,56.78,16.34,26.16,582.97,50.450158,30.523981
2026-05-09T08:00:00+00:00,17.39,65.04,13.1,25.18,469.32,50.450957,30.523422
2026-05-09T08:10:00+00:00,19.89,57.57,16.79,24.73,465.53,50.45127,30.523536
2026-05-09T08:20:00+00:00,19.42,57.69,17.27,26.21,522.25,50.450674,30.522822
2026-05-09T08:30:00+00:00,18.67,55.12,19.18,25.8,547.54,50.450594,30.523208
2026-05-09T08:40:00+00:00,19.91,52.82,16.2,27.67,538.38,50.450116,30.523806
2026-05-09T08:00:00+00:00,17.02,63.5,15.42,22.62,443.43,50.450911,30.523316
2026-05-09T08:10:00+00:00,19.69,62.08,15.75,20.26,480.22,50.451292,30.523753
2026-05-09T08:20:00+00:00,18.84,56.93,16.41,25.47,495.01,50.450656,30.522908
2026-05-09T08:30:00+00:00,19.55,60.7,16.32,24.79,551.9,50.450541,30.523026
2026-05-09T08:40:00+00:00,18.94,58.97,18.62,28.78,527.98,50.450027,30.524042
2026-05-09T08:00:00+00:00,18.55,65.0,13.83,25.11,494.49,50.451058,30.523302
2026-05-09T08:10:00+00:00,18.79,63.56,16.85,25.66,508.37,50.451299,30.523679
2026-05-09T08:20:00+00:00,17.64,57.86,15.58,25.85,475.52,50.450739,30.523027
2026-05-09T08:30:00+00:00,18.13,58.58,17.97,23.37,494.28,50.450341,30.523209
2026-05-09T08:40:00+00:00,20.11,56.26,18.66,25.61,530.32,50.450176,30.52388
2026-05-09T08:00:00+00:00,19.6,61.62,12.42,20.29,462.08,50.451037,30.523496
2026-05-09T08:10:00+00:00,17.84,57.95,15.57,24.48,514.46,50.451089,30.523635
2026-05-09T08:20:00+00:00,20.54,58.74,17.28,24.34,488.55,50.450814,30.523042
2026-05-09T08:30:00+00:00,18.83,54.31,16.96,26.24,538.81,50.450489,30.523269
2026-05-09T08:40:00+00:00,19.23,57.25,18.22,24.58,537.11,50.450247,30.523954
2026-05-09T08:00:00+00:00,17.66,60.81,12.52,22.2,458.98,50.450962,30.523455
2026-05-09T08:10:00+00:00,20.19,57.82,17.0,22.97,463.98,50.450906,30.523895
2026-05-09T08:20:00+00:00,18.54,55.82,17.86,26.25,463.14,50.450608,30.522821
2026-05-09T08:30:00+00:00,20.48,55.18,18.08,25.93,550.18,50.450416,30.522987
2026-05-09T08:40:00+00:00,21.5,58.89,18.64,24.39,550.25,50.450034,30.523915
2026-05-09T08:00:00+00:00,17.14,65.22,14.04,20.96,481.81,50.450892,30.523618
2026-05-09T08:10:00+00:00,19.98,63.43,13.92,25.51,495.46,50.451291,30.52391
2026-05-09T08:20:00+00:00,19.3,61.45,17.11,25.04,488.87,50.4506,30.522966
2026-05-09T08:30:00+00:00,19.23,55.3,17.54,25.28,540.05,50.450311,30.523141
2026-05-09T08:40:00+00:00,20.24,53.22,16.36,27.63,554.78,50.450182,30.523883
