timestamp,voltage_v,current_a,power_kw,frequency_hz,transformer_temp_c,latitude,longitude
2026-05-09T08:40:00+00:00,231.64,45.49,11.67,50.0,49.54,50.450712,30.524784
2026-05-09T08:00:00+00:00,228.76,43.03,11.18,49.99,45.54,50.451268,30.525036
2026-05-09T08:10:00+00:00,229.56,43.34,7.64,49.98,46.64,50.451247,30.524838
2026-05-09T08:20:00+00:00,227.4,43.83,9.92,49.99,47.66,50.451004,30.524791
2026-05-09T08:30:00+00:00,228.65,42.46,8.86,50.1,47.48,50.450933,30.524852
2026-05-09T08:40:00+00:00,233.27,44.76,10.5,49.99,49.63,50.450935,30.524689
2026-05-09T08:00:00+00:00,229.4,43.24,10.56,49.95,47.1,50.451417,30.525258
2026-05-09T08:10:00+00:00,231.45,42.7,9.25,50.02,47.35,50.451252,30.524841
2026-05-09T08:20:00+00:00,230.26,44.79,11.59,50.0,48.61,50.451137,30.525085
2026-05-09T08:30:00+00:00,232.4,42.7,10.19,50.05,45.52,50.450975,30.524851
2026-05-09T08:40:00+00:00,230.93,45.37,10.5,50.03,50.21,50.450902,30.524638
2026-05-09T08:00:00+00:00,229.3,43.57,8.41,49.97,46.6,50.451462,30.524959
2026-05-09T08:10:00+00:00,230.15,43.38,12.13,49.93,46.66,50.451312,30.525124
2026-05-09T08:20:00+00:00,226.05,43.83,10.97,49.93,48.17,50.451026,30.524857
2026-05-09T08:30:00+00:00,232.13,42.45,10.78,50.0,45.08,50.450818,30.524933
2026-05-09T08:40:00+00:00,229.29,44.09,11.53,49.96,50.55,50.450699,30.524886
2026-05-09T08:00:00+00:00,233.76,41.73,8.77,49.92,46.51,50.45127,30.525072
2026-05-09T08:10:00+00:00,227.68,41.97,11.84,50.04,47.55,50.451185,30.52512
2026-05-09T08:20:00+00:00,230.79,44.0,9.83,49.98,47.55,50.45092,30.524805
2026-05-09T08:30:00+00:00,234.23,42.64,10.66,50.1,47.45,50.450706,30.524857
2026-05-09T08:40:00+00:00,231.65,45.98,8.67,50.07,49.67,50.450828,30.52477
2026-05-09T08:00:00+00:00,227.37,43.6,8.67,50.0,47.66,50.451214,30.524932
2026-05-09T08:10:00+00:00,231.34,41.97,12.04,50.02,48.37,50.451064,30.525049
2026-05-09T08:20:00+00:00,227.86,44.15,9.5,49.96,47.57,50.45121,30.524812
2026-05-09T08:30:00+00:00,230.25,41.7,8.3,50.04,45.09,50.450879,30.524676
2026-05-09T08:40:00+00:00,229.1,45.32,12.43,50.01,49.54,50.450655,30.524715
2026-05-09T08:00:00+00:00,233.25,42.06,9.26,50.0,48.57,50.451457,30.524956
2026-05-09T08:10:00+00:00,232.61,43.29,11.21,50.02,46.48,50.451367,30.525133
2026-05-09T08:20:00+00:00,230.55,44.04,10.7,50.05,48.41,50.451159,30.525051
2026-05-09T08:30:00+00:00,232.74,42.26,9.55,50.03,47.14,50.451073,30.524948
2026-05-09T08:40:00+00:00,230.0,44.65,8.85,50.03,48.06,50.450871,30.524668
2026-05-09T08:00:00+00:00,233.51,42.07,10.53,50.05,45.56,50.451291,30.52498
2026-05-09T08:10:00+00:00,227.26,44.26,9.02,50.09,47.97,50.450984,30.525047
2026-05-09T08:20:00+00:00,228.14,43.83,9.54,49.95,46.88,50.451064,30.525015
2026-05-09T08:30:00+00:00,231.12,42.75,10.62,50.0,45.37,50.450803,30.524802
2026-05-09T08:40:00+00:00,226.15,45.07,11.82,49.92,49.36,50.450842,30.524909
2026-05-09T08:00:00+00:00,231.18,42.04,7.41,49.94,45.21,50.451326,30.525124
2026-05-09T08:10:00+00:00,229.99,44.1,9.49,49.94,49.66,50.45113,30.525177
2026-05-09T08:20:00+00:00,226.14,43.25,12.28,50.01,46.63,50.450912,30.524944
2026-05-09T08:30:00+00:00,235.05,41.16,11.68,50.04,47.21,50.45099,30.524696
2026-05-09T08:40:00+00:00,229.7,45.67,10.34,49.96,47.84,50.450797,30.524712
2026-05-09T08:00:00+00:00,226.21,42.21,10.32,49.91,45.49,50.451314,30.525232
2026-05-09T08:10:00+00:00,233.72,43.22,11.48,49.99,47.93,50.451222,30.524902
2026-05-09T08:20:00+00:00,230.66,43.51,8.88,49.93,48.78,50.451041,30.524994
2026-05-09T08:30:00+00:00,227.57,40.68,11.33,50.1,47.57,50.450897,30.524897
2026-05-09T08:40:00+00:00,231.28,45.29,9.73,49.99,49.89,50.450705,30.524567
2026-05-09T08:00:00+00:00,226.44,43.68,10.55,49.91,46.82,50.45122,30.525231
2026-05-09T08:10:00+00:00,233.79,43.54,9.0,50.02,48.43,50.451207,30.524928
2026-05-09T08:20:00+00:00,230.41,42.99,11.63,49.95,46.89,50.451116,30.525076
2026-05-09T08:30:00+00:00,227.69,41.24,9.0,50.08,45.52,50.450798,30.524739
2026-05-09T08:40:00+00:00,225.6,44.99,12.2,50.03,49.34,50.450854,30.524905
